NIST Control (source),NIST Catalog,NIST Release,Relationship,Equivalence,KSI ID,KSI Name,KSI Family,KSI Family Name
CP-6.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-6.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-TRC,Testing Recovery Capabilities,RPL,Recovery Planning
CP-6.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-7,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-7.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-7.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-7.3,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-8.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-8.2,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
CP-9,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ABO,Aligning Backups with Objectives,RPL,Recovery Planning
CP-9.1,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-TRC,Testing Recovery Capabilities,RPL,Recovery Planning
CP-9.8,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-SVC-SIN,Securing Information,SVC,Service Configuration
CP-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ABO,Aligning Backups with Objectives,RPL,Recovery Planning
CP-10,NIST SP 800-53 Rev. 5,5.2.0,fedramp_declared_related_control,false,KSI-RPL-ARP,Aligning Recovery Plan,RPL,Recovery Planning
